Date,from_usd_rate,to_usd_rate,cross_rate
2025-09-22,1396.22998046875,0.7962300181388855,0.0005702713945961615
2025-09-23,1389.3900146484375,0.792389988899231,0.0005703150163345116
2025-09-24,1391.8499755859375,0.7914299964904785,0.0005686173153520403
2025-09-25,1403.6500244140625,0.7946599721908569,0.000566138252676324
2025-09-26,1408.9200439453125,0.8000400066375732,0.0005678391829796602
2025-09-29,1408.7099609375,0.7974799871444702,0.000566106586350639
2025-09-30,1399.3299560546875,0.7972000241279602,0.000569701249286201
2025-10-01,1403.1500244140625,0.7961999773979187,0.0005674375252428204
2025-10-02,1401.8199462890625,0.7969099879264832,0.0005684824146182867
2025-10-03,1405.6300048828125,0.7970200181007385,0.0005670197814019957
2025-10-06,1406.06005859375,0.7971900105476379,0.0005669672541192413
2025-10-07,1409.9200439453125,0.7949100136756897,0.0005637979381095474
2025-10-08,1414.5699462890625,0.7985900044441223,0.0005645461410650761
2025-10-09,1422.52001953125,0.8015000224113464,0.0005634367259558551
2025-10-10,1421.510009765625,0.8061699867248535,0.0005671222722221792
2025-10-13,1429.030029296875,0.8023200035095215,0.0005614437674933162
2025-10-14,1426.0699462890625,0.8042899966239929,0.0005639905663231503
2025-10-15,1429.4300537109375,0.8015300035476685,0.0005607339802789369
2025-10-16,1420.0899658203125,0.7965499758720398,0.0005609151497749751
2025-10-17,1415.719970703125,0.7918300032615662,0.0005593125898113166
2025-10-20,1419.739990234375,0.7935900092124939,0.0005589685538698432
2025-10-21,1419.739990234375,0.7924000024795532,0.0005581303674828103
2025-10-22,1430.739990234375,0.7967000007629395,0.0005568447140646631
2025-10-23,1430.4000244140625,0.7960900068283081,0.0005565506104870293
2025-10-24,1435.8399658203125,0.7950800061225891,0.0005537385955602305
2025-10-27,1436.969970703125,0.7960500121116638,0.0005539781821064416
2025-10-28,1430.969970703125,0.7946100234985352,0.0005552946880556086
2025-10-29,1425.969970703125,0.7928299903869629,0.0005559934687797318
2025-10-30,1424.010009765625,0.7997999787330627,0.0005616533403895807
2025-10-31,1424.02001953125,0.8015900254249573,0.0005629064299874238
2025-11-03,1427.1700439453125,0.8048999905586243,0.0005639832436039185
2025-11-04,1428.969970703125,0.8081300258636475,0.0005655332459267895
2025-11-05,1439.81005859375,0.8103299736976624,0.0005628033842804964
2025-11-06,1439.739990234375,0.8097299933433533,0.0005624140461720019
2025-11-07,1447.9000244140625,0.805899977684021,0.0005565991878549441
2025-11-10,1454.0,0.8070899844169617,0.000555082520231748
2025-11-11,1456.0899658203125,0.8051599860191345,0.0005529603286329456
2025-11-12,1459.8399658203125,0.8003299832344055,0.0005482313143719726
2025-11-13,1468.02001953125,0.797819972038269,0.0005434666839850175
2025-11-14,1468.7099609375,0.7932699918746948,0.0005401134417093069
2025-11-17,1446.530029296875,0.7942799925804138,0.0005490933312780897
2025-11-18,1461.68994140625,0.796239972114563,0.0005447393113675828
2025-11-19,1456.550048828125,0.8001999855041504,0.0005493803567875718
2025-11-20,1466.1300048828125,0.8054199814796448,0.0005493509980678841
2025-11-21,1473.25,0.8054800033569336,0.000546736808659042
2025-11-24,1467.72998046875,0.8086699843406677,0.0005509664550712537
2025-11-25,1474.8599853515625,0.8086100220680237,0.0005482622283465608
2025-11-26,1464.9200439453125,0.8079800009727478,0.0005515522873157648
2025-11-27,1470.5899658203125,0.8034899830818176,0.0005463725455474744
2025-11-28,1461.4000244140625,0.8046000003814697,0.0005505679396057682
2025-12-01,1465.6199951171875,0.8033400177955627,0.0005481229926392548
